abandon[2'b9nd2n]vt. 放弃
preach[pri:t6]vt. 鼓吹；宣讲
prearrange[pri:2'reind7]vt. 预先安排；预先准备
precede[pri(:)'si:d]vt. 在...之先
precede[pri(:)'si:d]vt. 先于
precious['pre62s]a. 宝贵的
precipitate[pri'sipiteit]vt. 使突然发生，促使
precipitate[pri'sipiteit]vt. 加速；促使
precipitation[prisipi'tei62n]n. 降水；降水量
precipitation[prisipi'tei62n]n. 降水
precisely[pri'saisli]ad. 精确地
predator['pred2t2]n. 肉食动物；掠夺者
predator['pred2t2]n. 食肉动物
predator['pred2t2]n. 食肉动物
predator['pred2t2]n. 捕食者，掠夺者
predecessor['pri:dises2]n. 前辈
predominance[pri'd0min2ns]n. 主导地位；显著
predominate[pri'd0mineit]vi. 占主导地位
preeminent[pri:'emin2nt]a. 卓越的；出众的
prefer...to[]宁愿选择...而不是...
pregnant['pregn2nt]a. 怀孕的，妊娠的
prehistoric[pri:his't0rik]a. 史前的
preliminary[pri'limin2ri]a. 初步的
prelude['prelju:d]n. 序幕；前奏
preponderance[pri'p0nd2r2ns]n. 优势，多数
prerequisite[pri:'rekwizit]n. 先决条件；前提
present['preznt]vt. 提出
present['preznt]vt. 提出
present['preznt]vt. 提出；描述
present['preznt]vt. 显示，表现出
preserve[pri'z2:v]vt. 保留；保护
pressure['pre62]n. 压力
prestige[pres'ti:7]n. 声望，影响力
prestigious[pres'tid7i2s]a. 有声望的
pretense[pri'tens]n. (pretence)虚假；做作
pretension[pri'ten62n]n. 主张；要求；权力
prevail[pri'veil]vi. 占优势；盛行
prevailing[pri'veili8]a. 流行的；普遍的
prevalence['prev2l2ns]n. 普遍；流行
previous['pri:vj2s]a. 以前的；原来的
previously['pri:vj2sli]ad. 先前
prey[prei]n. 被捕食的动物
prey[prei]n. 猎物
primal['praiml]a. 原始的；最初的
primary['praim2ri]a. 首要的；主要的
primary['praim2ri]n. (primary color)原色；基色
primate['praimit]n. 灵长目动物
prime[praim]a. 首要的，主要的
primitive['primitiv]a. 原始的
primordial[prai'm0:di2l]a. 原始的；初发的
principal['prins2p2l]a. 主要的
priority[prai'0riti]n. 居前；优先考虑的事
privately['praivitli]ad. 非公开的
procedure[pr2'si:d72]n. 程序
proceed[pr2'si:d]vi. (尤指停顿或打断后)继续进行
proceed[pr2'si:d]vi. 进行；开展
proceeds['pr2usi:dz]n. 收入
process['pr2uses]n. 过程
process['pr2uses]n. 过程；经过
process['pr2uses]n. 过程
process['pr2uses]vt. 加工
proclaim[pr2'kleim]vt. 声明，宣告；表明
prodigious[pr2'did72s]a. 巨大的，惊人的
produce[pr2'dju:s, 'pr0dju:s]vt. 创作
production[pr2'd3k62n]n. 上演的戏
productive[pr2'd3ktiv]a. 多产的
proficiency[pr2'fi62nsi]n. 熟巧；精通
profiteer[pr0fi'ti2]n. 牟取暴利的人
profound[pr2'faund]a. 深刻的
profoundly[pr2'faundli]ad. 深深地；极度地
programming[]n. (编排的)程序
project[pr2'd7ekt, 'pr0d7ekt]n. 工程
project[pr2'd7ekt, 'pr0d7ekt]n. 计划；设计
project[pr2'd7ekt, 'pr0d7ekt]vt. 生动地表现；使伸出
projection[pr2'd7ek62n]n. 突出物
proliferate[prou'lif2reit]vi. 增殖；增生
prolific[pr2'lifik]a. 多产的
prolong[pr2'l08]vt. 延长
prominent['pr0min2nt]a. 显赫的
prominent['pr0min2nt]a. 突凸的；杰出的
promote[pr2'm2ut]vt. 促进
promoter[pr2'm2ut2]n. 发起人；促进者
promptly['pr0mptli]ad. 立即
pronounced[pr2'naunst]a. 明显的
pronounced[pr2'naunst]a. 显著的；明显的
propel[pr2'pel]vt. 推动；推进
propeller[pr2'pel2]n. 螺旋桨，推进器
propensity[pr2'pensiti]n. 习性；倾向
property['pr0p2ti]n. 财产
property['pr0p2ti]n. 财产
proponent[pr2'poun2nt]n. 支持者；提议者
proponent[pr2'poun2nt]n. 提倡者，支持者
proportion[pr2'p0:62n]n. 比例
proportion[pr2'p0:62n]n. 比例
proposal[pr2'p2uz2l]n. 提议；建议
propose[pr2'p2uz]vt. 提议
proprietor[pr2'prai2t2]n. 业主，所有人
prose[pr2uz]n. 散文
prosecute['pr0sikju:t]vt. 起诉；告发
prospect['pr0spekt, pr2s'pekt]n. 景象，景色；前景
prospect['pr0spekt, pr2s'pekt]n. 指望，展望
prospector[pr0s'pekt2]n. 勘探者
prospector[pr0s'pekt2]n. 勘探者；探矿者
prosper['pr0sp2]vi. 繁荣
protagonist[pr2u't9g2nist]n. 领导者；倡导者
protein['pr2uti:n]n. 蛋白质
protein['pr2uti:n]n. 蛋白质
protohorse[]n. 原型马
prototype['pr2ut2taip]n. 原型；典型
providence['pr0vid2ns]n. 上帝；天命
province['pr0vins]n. 范围；领域
province['pr0vins]n. 职责；领域
provincialism[pr2'vin62lizm]n. 地方观念，地方主义
prudent['pru:d2nt]a. 节俭的，善于经营的；审慎的
psychologist[sai'k0l2d7ist]n. 心理学家
publicized[]a. 众所周知的
publisher['p3bli62]n. (报社)业主；出版商
puddle['p3dl]n. 水坑
pulp[p3lp]n. 纸浆
pulse[p3ls]n. 脉冲；脉博
pump[p3mp]vt. 汲取；抽水
punch[p3nt6]vt. 用力击
purchase['p2:t62s]vt. 购买
purple['p2:pl]a. 紫色
pursue[p2'sju:]vt. 进行，从事；追求
pursuit[p2'sju:t]n. 追求；追赶
purveyor[p2'vei2]n. 承办者
puzzling['p3zli8]a. 费解的
pyramid['pir2mid]n. 金字塔
quadrilateral[kw0dri'l9t2r2l]a. 四边形的
qualitative['kw0lit2tiv]a. 定性的
quality['kw0liti]n. 特点；特性
quantitative['kw0ntit2tiv]a. 定量的
quarters[]n. (复)住处；住区
quartz[kw0:ts]n. 石英
quench[kwent6]vt. 冷却；平息
quest[kwest]n. 追求；探索
quotation[kw2u'tei62n]n. 引文，语录
quote[kw2ut]vt. 引证
radiant['reidj2nt]a. 发光的；有光亮的
radiation[reidi'ei62n]n. 辐射；发光
radical['r9dik2l]a. 激进的；根本的
radically['r9dik2li]ad. 激烈地；根本地
radioactive[reidi2u'9ktiv]a. 放射性的
radius['reidj2s]n. (复数为radii/radiuses)范围；半径
raft[ra:ft]n. 木排；木筏
rage[reid7]vi. (战争等)激烈地进行
rail[reil]n. 铁轨
railhead[]n. 铁路线的终点
rainbow['reinb2u]n. 彩虹
raise['reiz]vt. 养殖；培育
rally['r9li]vi. 聚集一团；团结
ranch[r9nt6]n. 农牧场，v. 放牧
rancher['r9nt62]n,. 大农(牧)场主
random['r9nd2m]a. 任意的；胡乱的
range[reind7]n. 放牧地，牧场；山脉，范围
rank[r98k]vi. 排名，n. 等级；军队中的官阶
ratchet['r9t6it]n. 棘轮(亦作ratchet)
ratify['r9tifai]vt. 认可；批准
rating['reiti8]n. 类别；分类
ratio['rei6i2u]n. 比率
rational['r962nl]a. 理智的；理性的；合理的
rattle['r9tl]n. 拨浪鼓
rattlesnake['r9tlsneik]n. 响尾蛇
ravine[r2'vi:n]n. 峡谷
reach[ri:t6]n.  地带
reaction[ri'9k62n]n. 反应
reaish[]n. 小萝卜
realistic[ri2'listik]a. 现实的
reality[ri'9liti]n. 现实
realm['relm]n. 王国；领域
rear[ri2]n. 后部，vt. 养殖；培育
reason['ri:zn]vi. 推论
reature[]vt. 以...为特色；给...以显著地位
rebel['reb2l, ri'bel]n. 反叛分子，反抗者
rebellion[ri'belj2n]n. 反叛；反抗
recall[ri'k0:l]vt. 回想；回忆
reception[ri'sep62n]n. 接收
receptor[ri'sept2]n. 感受器
recital[ri'saitl]n. 演出；演奏会
reckon['rek2n]v. 估计；计算
reclaim[ri'kleim]vt. 改造
recognition[rek2g'ni62n]n. 承认；认可
recoil[ri'k0il]vi. 弹回，跳回
recompose[ri:k2m'pouz]vt. 重写；改作
reconstitute['ri:'k0nstitju:t]vt. 重建
record['rek0:d, ri'k0:d]n. 档案
recreation[rekri'ei62n]n. 消遣；娱乐
rectangle['rekt98gl]n. 长方形
rectangular[rek't98gjul2]a. 矩形的，长方形的
rectangularly[]ad. 呈长方形地；呈直角形地
recycle['ri:'saikl]vt. 回收利用；改建
reddish['redi6]a. 微红的
redefine[ridi'fain]vt. 重新解释；重新定义
reduce[ri'dju:s]vt. 减少
reduction[ri'd3k62n]n. 减少，简化；简约
reelection[ri:2'lek62n]n. 重新选举
reemit[]vt. 重新放射
reexecute[]vt. 重新制作
reflect[ri'flekt]vt. 反映
reflection[ri'flek62n]n. 反映；抒发
reform[ri'f0:m]n. 改革
refreshing[ri'fre6i8]a. 别开生面的
refurbish[ri:'f2:bi6]vt. 重新修整
refuse[ri'fju:z]n. 废料
regeneration[rid7en2'rei62n]n. 再生
regime[rei'7i:m]n. 体制；政体
regimentation[red7imen'tei62n]n. 一律化，标准化
regulate['regjuleit]vt. 调整；调节
rehabilitate[ri:h2'biliteit]vt. 修复
rehabilitation[]n. 恢复
reheat['ri:'hi:t]vt. 重新加热
reincorporate['ri:in'k0:p2reit]vt. 再并入
reinforce[ri:in'f0:s]vt. 加强；充实
reject[ri'd7ekt]vt. 拒绝
rejoin['ri:'d70in]vt. 再连接；重新结合
relative['rel2tiv]n. 亲属；亲威，亲缘动物
relatively['rel2tivli]ad. 相对地
release[ri'li:s]vt. 释放；放出
relevant['reliv2nt]a. 有关的；有重大关系的
reliance[ri'lai2ns]n. 依赖
relieve[ri'li:v]vt. 消除；减轻
remains[ri'meinz]n. (复)残余；剩余物
remark[ri'ma:k]vi. 说，评说
remarkable[ri'ma:k2bl]a. 显著的
remedy['remidi]vt. 补救，纠正；使恢复正常
remnant['remn2nt]n. 残余物
remodel['ri:'m0dl]vt. 改造
remote[ri'm2ut]a. 遥元的；偏僻的
remove[ri'mu:v]vt. 除去；弄掉，移动
render['rend2]vt. 表达；描绘
rendering['rend2ri8]n. 翻译；表达
renewal[ri'nju:2l]n. 重新获得，更新
renin['ri:nin]n. 肾素
rentable['rent2bl]a. 可租用的
rental['rentl]n. 租费
renunciation[rin3nsi'ei62n]n. 放弃；脱离关系
repertoire['rep2tw1:]n. 全部节目；保留节目
repertory['rep2t2ri]n. (保留节目轮演)剧团
repetitive[ri'petitiv]a. 重复的
replace[ri'pleis]vt. 代替；取代
replenish[ri'pleni6]vt. 补充；把...装满
replicate['replikeit]vi. 复制
represent[repri'zent]vt. 表示；代表，表现，相当于；相等于
representation[reprizen'tei62n]n. 表示；象征，表达；表现，代表
representative[repri'zent2tiv]n. 代表
reproduce[ri:pr2'dju:s]vt. 复制；再生产，生殖；繁殖
reproduction[ri:pr2'd3k62n]n. 复制
reproductive[ri:pr2'd3ktiv]a. 生殖的
reptile['reptail]n. 爬行动物；两栖动物
reputation[repju(:)'tei62n]n. 名声；声誉
reputed[ri'pju:tid]a. 被一般认定的；普遍认为的
rescue['reskju:]vt. 拯救
resemblance[ri'zembl2ns]n. 相似
resemble[ri'zembl]vt. 与...相似
reserve[ri'z2:v]n. (常作reserves)矿藏，储量
reservoir['rez2vwa:]n. 水库
resettle['ri:'setl]vi. 重新定居
reshape[ri:'6eip]vt. 再塑造；改变
residency['rezid2ns]n. 居住
resist[ri'zist]vt. 抵抗，抵制
resolution[rez2'lju:62n]n. 分辨率，清晰度；决心
resolve[ri'z0lv]vt. 解决
resonance['r/zn2ns]n. 回声；共鸣
resource[ri's0:s]n. (常用复数)资源
resourcefulness[]n. 足智多谋
respect[ris'pekt]n. 方面
respective[ris'pektiv]a. 各自的，分别的
respectively[ris'pektivli]ad. 分别地
restoration[rest2'rei62n]n. 恢复
restore[ris't0:]vt. 恢复
restrict[ris'trikt]vt. 限制
resultant[ri'z3lt2nt]a. 因而发生的
resume[ri'zju:m]vt. 继续
retain[ri'tein]vt. 保持；保留
retention[ri'ten62n]n. 保留
retentive[ri'tentiv]a. 残留的
retire[ri'tai2]vt. 付清；清偿
retired[ri'tai2d]a. 退休的(意指停用)
retirement[ri'tai2m2nt]n. 退休
retool['ri:'tu:l]vt. 改组，重新装备
retract[ri'tr9kt]vt. 缩回
retreat[ri'tri:t]vi. 后退；退居
retrieve[ri'tri:v]vt. 收回，取回
reveal[ri'vi:l]vt. 揭示；展示
reverently[]ad. 恭敬的；怀着敬意的
reverse[ri'v2:s]a. 相反的，vt. 使反向；使逆转
review[ri'vju:]n. 评论
revitalization[]n. 复兴；新生
revival[ri'vaiv2l]n. 苏醒；复兴
rewarding[ri'w0:di8]a. 有益的，有意义的；给予报偿的
rawhide['r0:haid]a. 生牛皮的
rhetoric['ret2rik]n. 雄辩术；修辞学
rhinoceros[rai'n0s2r2s]n. 犀牛
rhythm['ri52m]n. 节奏
rhythmical['ri5mikl]a. 有节奏的；有韵律的
ridge[rid7]n. 屋脊
ridicule['ridikju:l]vt. 嘲笑
rift[rift]n. 裂谷；裂缝
rigid['rid7id]a. 呆板的
rigid['rid7id]a. 坚硬的，僵硬的，死板的
risk[risk]n. 危险
ritual['ritju2l]n. (宗教等的)仪式
rival['raiv2l]vt. 与...竞争；与...同样好
roam[r2um]vi. 漫游；流浪
roar[r0:]n. 怒号，轰鸣
rock[r0k]vt. 摇晃
rod[r0d]n. 杆，棒条
rod-shaped[]a. 条形
rodent['roudnt]n. 啮齿动物
rodeo[rou'deiou, 'roudiou]n. 牧马骑术表演
roll[r2ul]vi. 滚动
romance[r2u'm9ns]n. 浪漫
root[ru:t]n. 词根
rosy['r2uzi]a. 美好的；乐观的；玫瑰色的
rotate[r2u'teit]vt. 使轮流(展出，表演等)；使旋转，vi.旋转
rotational[]a. 转动的；自转的
routine[ru:'ti:n]n. 一套固定舞步(或动作)，a. 普通的；惯例的
row[r2u]n. 派，列
rub[r3b]vi. 摩擦，擦
rudiment['ru:dim2nt]n. 基本原理
rugged['r3gid]a. 崎岖的；不平的
rumble['r3mbl]v. 发隆隆声；隆隆地进行
rumor['ru:m2]n. 谣言
run[r3n]v. (尺寸，价格，数量)为；平均v. 连续(V.)连续(上映等)，vt. 开办
runoff[]n. 流量，径流；溢流
rural['ru2r2l]a. 乡村的；农村的
rush-hour[]上下班高峰期
sac[s9k]n. 囊
sack[s9k]n. 袋子
saddle['s9dl]n. 马鞍
saguaro[s2'gw1:ou]n. 树形仙人掌
salinity[s2'liniti]n. 盐分；咸度
salmon['s9m2n]n. 鲑
sample['sa:mpl]n. 抽样；样本
sanction['s98k62n]n. 约束力；认可，许可，制裁
sanitation[s9ni'tei62n]n. 卫生；卫生设备
save[seiv]prep. 除...之外
scale[skeil]n. 鳞
scan[sk9n]vt. 校验
scar[ska:]vt. 使有疤痕
scarce[sk/2s]a. 不足的
scatter['sk9t2]vt.  散播；撒布，分布
scavenge['sk9vind7]vt. (动物)以(腐肉或垃圾)为食
scavenger['sk9vind72]n. 食腐动物；拾荒者
scenic['si:nik]a. 风景优美的
schedule['6edju:l]n. 安排；排定
scheme[ski:m]n. 计划，方案
school[sku:l]n. 鱼群；同类水生动物群
scold[sk2uld]vt. 责骂
score[sk0:]n. 乐曲，总谱
scour['skau2]vt. 冰川侵蚀；冰刷
scout[skaut]n. 侦察者
scrap[skr9p]n. 碎片
scraping['skreipi8]n. (常用复数)碎屑
scratch[skr9t6]vt. 划破；擦伤
scrupulously[]ad. 一丝不敬地；严谨地
sculpture['sk3lpt62]n. 雕刻
seal['si:l]n. 海豹
sear[si2]vi. 灼热，烧焦
seasonal['si:zn2l]a. 季节性的
seat[si:t]n. 职位
seclude[si'klu:d]vt. 使隔绝
seclusion[si'klu72n]n. 隐居；隐退
second['sek2nd]n. 秒
second-grade[]二年级
secrecy['si:krisi]n. 保密
secrete[si'kri:t]vt. 分泌
secretin[si'kri:tn]n. 分泌素
sect[sekt]n. 教派
secure[si'kju2]vt. 获得；使安全(可靠)
security[si'kju2riti]n. 安全
sediment['sedim2nt]n. 沉积物
sedimentation[sedimen'tei62n]n. 沉淀，沉积
seduce[si'dju:s]vt. 迷住；诱惑；勾引
seed[si:d]n. 种子
seedling['si:dli8]n. 籽苗，幼苗
seek[si:k]vt. 追求
seeker['si:k2]n. 寻求者
seep[si:p]vi. 渗出
seepage['si:pid7]n. 渗出物
segment['segm2nt]n. 部分；扇形
selective[si'lektiv]a. 有选择性的
selenium[si'li:ni2m]n. 硒
self-development[]自我发展
self-expression[]自我表现
self-limiting[]a. 自我限制的
self-realization[]自我实现
self-rule=self-government[]自治；民主政治
self-sovereignty[]n. 自主
self-sufficient[]a. 过于自信的；妄自尊大的；自给自足的
self-taught[]a. 自学成才的
self-winding[]a. 自动上发条的
seminar['semina:]n. 研究班；专题讨论会
Senate[senit]n. 参议院
sensational[sen'sei62nl]a. 轰动的；惊人的
sensible['sens2bl]a. 明智的，合理的
sensitive['sensitiv]a. 敏感的
sensitivity[sensi'tiviti]n. 繁感性
sensory['sens2ri]a. 感觉的
sentimental[senti'mentl]a. 多愁善感的
sentimentalism[]n. 感伤主义
sentimentalize[senti'mentlaiz]vt. 使伤感
sequence['si:kw2ns]n. 顺序，系列；次序
sequester[si'kwest2]vt. 使分离
sequoia[si'kw0i2]n,. 红杉
set[set]vt. 设定
setting['seti8]n. 环境；背景
settle['setl]vi. 定居
settled['setid]a. (性格等的)稳重的；定居的
settlement['setlm2nt]n. 新拓居地；定居
severe[si'vi2]a. 严重的
severely[si'vi2li]ad. 严重地
sew[s2u]vi. 缝；干针线活
sewage['sju:id7]n. (下水道)污水；污物
sexton['sekst2n]n. 教堂司事
shade[6eid]n. 色度；颜色深浅
shadow['69d2u]n. 阴影
shaft[6a:ft]n. 通道，光束；闪光
shale[6eil]n. 页岩
shallow['69l2u]a. 浅的
shape[6eip]vt. 使形成；塑造
sheer[6i2]a. 全然的；纯粹的
shell[6el]n. 船壳；壳
shelter['6elt2]n. 住所；避难所
shielding[]n. 防护罩
ship[6ip]vt. 运送
shipwreck['6iprek]n. 船遇难(失事)
shortage['60:tid7]n. 缺少；不足
shot[60t]n. 拍摄
shovel['63vl]n. 铁锹
show[62u]n. 表演
shrill[6ril]n. 尖声；尖叫
shrimp[6rimp]n. (复数shrimp(s)(小)虾
shrink[6rink]vi. (过去分词shrunk)收缩
shrub[6r3b]n. 灌木
signal['sign2l]vt. 发信号，n. 信号
signature['signit62]n. 签名
signify['signifai]vt. 表示
silhouette[silu:'et]vt. 使显出轮郭(或影像)
silica['silik2]n. 硅石
silicate['silikit]n. 硅酸盐
siliceous[si'li62s]a. (化)硅质的；含硅的
silicon['silik2n]n. 硅
silt[silt]n. 淤泥
silverware['silv2w/2]n. 银餐具；银器
simplicity[sim'plisiti]n. 简单；简易
simultaneously[sim2l'teinj2sli]ad. 同时地
sin[sin]n. 罪孽
site[sait]n. 现场；场地，地方，场所
skeleton['skelit2n]n. 骨骼
skeptical['skeptikl]a. 怀疑的
skepticism['skeptisizm]n. 怀疑态度
sketch[sket6]n. 梗概；素描
skull[sk3l]n. 颅骨
skylight[skai'lait]n. 日光
skyrocket[]vi. 突飞猛进
skyscraper[skai'skreip2]n. 摩天大楼
sledding['sledi8]n. 坐雪橇
slide[slaid]vi. 滑行
slime[slaim]n. 黏液
slimy['slaimi]a. 分泌黏液的
slip[slip]vi. 逐渐进入，陷入；滑行
slipper['slip2]n. 便鞋
slope[sl2up]n. 山坡
sloth[sl2u4]n. 树懒
slothful['slou4ful]a. 懒惰的
sluggishly[]ad. 懒怠地；缓慢地
slumber['sl3mb2]n. 睡眠
smelt[smelt]vt. 熔炼
smite[smait]vt. (常用被动语态)深深影响，打动
snout[snaut]n. 鼻部
snowdrift['snoudrift]n. 被风吹成的雪堆
snowflake['snoufleik]n. 雪花
soak[s2uk]vt. 浸泡
sociology[s2usi'0l2d7i]n. 社会学
sodium['s2udj2m]n. 钠
softball['s0ftb0:l]n. 垒球
solar['s2ul2]a. 太阳的
solid['s0lid]a. 固体的；结实的，坚固的
solidarity[s0li'd9riti]n. 团结一致
solidify[s2'lidifai]vt. 使固化
solitary['s0lit2ri]a. 独处
solitude['s0litju:d]n. 单独；寂寞
solution[s2'lju:62n]n. 溶解状态
somewhat['s3mw0t]ad. 有点
sophisticated[s2'fistikeitid]a. 精密的；复杂的；尖端的
sophistication[s2fisti'kei62n]n. 精密；复杂；尖端
sow[s2u]vt. 播种
span[sp9n]vi. 跨越
spanking['sp98ki8]a. 飞快的；了不起
spare[sp/2]a. (风格)不加渲染的；简朴的，vt. 用不着；免去
spark[spa:k]n. 火花，vt. 激发；点燃
spat[sp9t]n. 特蛎卵；幼牡蛎
spawn[sp0:n]vt. 产卵
species['spi:6i:z]n. 种类
specify['spesifai]vt. 明确说明
specimen['spesimin]n. 样本；标本
speckle['spekl]vt. 使弄上斑点；沾污
spectacle['spekt2kl]n. 景象；壮观；场面
spectacular[spek't9kjul2]a. 壮观的
spectator[spek'teit2]n. 旁观者；观众
spectrum['spektr2m]n. 光谱；范围
speculate['spekjuleit]vt. 推测，认为
speculation[spekju'lei62n]n. 投机，推测
speculative['spekjul2tiv]a. 投机的
speculator['spekjuleit2]n. 投机商
spherical['sferik2l]a. 球形的
spidery['spaid2ri]a. 蜘蛛似的
spikelike[]a. 穗状的
spine[spain]n. 脊椎
spinet['spinit]n. 小型拨弦古钢琴
spinster['spinst2]n. 老处女
spiral['spai2r2l]vi. 不断急剧地上升(或下降)；螺旋形行进
splash[spl96]vi. 飞溅
splinter['splint2]vt. 分散；分裂
split[split]vt. 劈开；分开
spoil[sp0il]vt. 弄脏，vi. (食物)变坏
sponge[sp3nd7]n. 金属绵；海绵
sponsor['sp0ns2]vt. 发起；资助，为...作保证人
spontaneity[sp0nt2'ni:iti]n. 自发
spontaneous[sp0n'teinj2s]a. (冲动等)自发的；自然的
spontaneously[]ad. 自发地
spot[sp0t]vt. 发现
sprawl[spr0:l]vi. 蔓延起伏的
spray[sprei]n. 浪花
spring[spri8]vi. 反弹；跳
springboard[]n. 跳板
sprout[spraut]vi. 发芽；长出
spur[sp2:]n. 踢马刺
spy[spai]v. 侦察
square[skw/2]n. 平方
squarely['skw/2li]ad. 坚定地；坚实地；直接地
squatter['skw0t2]n. 擅自占地者
squeak[skwi:k]vi. 尖叫
squeeze['skwi:z]vt. 硬塞；用力挤压
stable['steibl]a. 稳定的
stack[st9k]n. 堆
staff[sta:f]n. 职员
stage[steid7]n. 阶段
stagecoach['steid7kout6]n. 马车
staggering['st9g2ri8]a. 惊人的；摇晃的
stain[stein]vt. 玷污，n. 染色；污迹
stalk[st0:k]vt. 跟踪，n. 茎，梗
stand[st9nd]n. 树丛
state[steit]vt. 宣布
stately['steitli]a. 庄严的；雄伟的；堂皇的
statement['steitm2nt]n. 声明；陈述
stationary['stei6n2ri]a. 静止的，固定的
statistical[st2'tistikl]a. 统计(学)的
statistics[st2'tistiks]n. 统计学
stature['st9t62]n. 高度水平，高度境界；身高，身材
status['steit2s]n. 情形，状态；地位
steady['stedi]a. 稳定的，稳固的
steam-cylinder[]n. 蒸汽机汽缸
steamer['sti:m2]n. 汽船；轮船
steep[sti:p]a. 陡峭的；大起大落的
steer[sti2]vi. 操舵；前进；驾驶汽车
stem[stem]n. 茎
stench[stent6]n. 臭气，恶臭
sterile['sterail]a. 不育的；贫瘠的
stern[st2:n]a. 严厉的
stickpin['stikpin]n. (插入领带等的)装饰别针
stiff[stif]a. 坚挺的，硬的
stifle['sfaifl]vt. 使窒息；闷住
stilt[stilt]n. 支撑物；支撑架
stimulate['stimjuleit]vt. 刺激，引起
sting[sti8]vt. 刺
stipulate['stipjuleit]vt. 规定
stir[st2:]vt. 搅拌
stocky['st0ki]a. 矮胖的
stomach['st3m2k]n. 胃
stony['st2uni]a. 石质的；多石的
storage['st0:rid7]n. 储存；仓库
store[st0:]vt. 储存
storeroom['st0:rum]n. 储藏室
story['st0:ri]n. 楼层(同storey)
stout[staut]vt. 胖而大的；顽强的
straight[streit]a. 直的
straight-grained[]直纹的
strain['strein]n. 品种；血统，负担；紧张
strap[str9p]v. 捆扎
strategist['st9tid7ist]n. 战略家
strategy['str9tid7i]n. 策略
stream[stri:m]n. 溪流。v. 照射；流动
streamline[stri:mlain]a. 流线型的
strength[stre84]n. 强点，长处
strenuous['strenju2s]a. 费力的；紧张的
stress[stres]n. 压力
stretch[stret6]vi. 延伸
strike[straik]vt. 打，击
striking['straiki8]a. 显著的；突出的
string[stri8]n. 乐音，调
stringent['strind72nt]a. 严格的，严厉的
stripe[straip]n. 长条；条纹
stubbornness[]n. 顽固
studio['stju:di2u]n. 画室
stunning['st3ni8]a. 极好的；使人晕倒的
sturdiness['st2:dinis]n. 坚固；牢实
style[stail]n. 风格
stylize['stailaiz]vt. 使...风格化
stylized[]a. 程式化
subject['s3bd7ikt, s3b'd7ekt]n. 受试者；实验对象，vt. 使遭受；使易受
subjugation[s3bd7u'gei62n]n. 屈服
submerge[s3b'm2:d7]vt. 浸没，淹没
submissiveness[]n. 顺从
submit[s3b'mit]vt. 提交；呈送
suborder[s3b'0:d2]n. 亚目
subsequent['s3bsikw2nt]a. 随后的
subsidiary[s2b'sidj2ri]a. 次要的；附属的
subsidy['s3bsidi]n. 津贴；补助金
subsistence[s2b'sist2ns]n. 活命；生存
subspecies['s3bspi:6iz]n. 亚种
substance['s3bst2ns]n. 物质
substantial[s2b'st9n62l]a. 大量的
substantially[s2b'st9n62li]ad. 相当地；可观地
substantiate[s2b'st9n6ieit]vt. 证实；证明...有根据
substitute['s3bstitju:t]n. 代用品；替代物
substractivea[]a. 减色法的
substrate[]n. 本源；基础
subtitle['s3btait]n. 副标字幕
subtle['s3btl]a. 微妙的；细微的
subtraction[s2b'tr9k62n]n. 减少；减去
suburb['s3b2:b]n. 郊区
suburbanization[]n. 使郊区化
subway['s3bwei]n. 地铁
succeed[s2k'si:d]vi. 接续；接连
sufficient[s2'fi62nt]a. 足够的
sully['s3li]vt. 玷污；弄脏
sum[s3m]n. 数目
summarization[s3m2rai'zei62n]n. 概括
summary['s3m2ri]n. 摘要；总结
sun-baked[]a. 日晒的
superficial[sju:p2'fi62l]a. 肤浅的
superintendent[sju:p2rin'tend2nt]n. 主管人；监督人
superintendent[sju:p2rin'tend2nt]n. 主管人；校长
superior[sju:'pi2ri2]a. 优良的；卓越的
supernatural[sju:p2'n9t62r2l]a. 超自然的
supervisor['sju:p2vaiz2]n. 监督；主管
supplant[s2'pla:nt]vt. 取代
supplement['s3plim2nt]vt. 增补，补充
supplementary[s3pli'ment2ri]a. 补充的；附加的
supply[s2'plai]n. 供应
supremacy[sju'prem2si]n. 至高无上，最高地位
surface['s2:fis]vi. 出现；露面
surge[s2:d7]vi. 激增；波浪般汹涌奔腾
surmount[s2:'maunt]vt. 克服
surpass[s2:'pa:s]vt. 超过；胜过
surplus['s2:pl2s]n. 过剩；剩余
surrender[s2'rend2]vt. 交出；放弃
surrounding[s2'raundi8]n. (常用复数)环境
survive[s2'vaiv]vi. 活下来；幸存
survivor[s2'vaiv2]n. 幸存者
suspect[s2s'pekt, 's3spekt]vt. 认为，推测；怀疑
suspend[s2s'pend]vt. 吊；悬挂，中止；停止
suspender[s2'spend2]n. (裤子的)背带
sustain[s2s'tein]vt. 支撑
sustain[s2s'tein]vt. 使持续不息；支撑
swamp[sw0mp]n. 沼泽
swampy['sw0mpi]a. 沼泽地的
swarm[sw0:m]n. 一大群
sway[swei]vi. 摇摆
sweaty['sweti]a. 吃力的
sweep[swi:p]n. 猛烈移动
sweeping['swi:pi8]a. 范围大的；势不可挡的
swelling[]n. 隆起部
swift[swift]a. 迅速的
swing[swi8]vi. 摆动
swing[swi8]n. 爵士音乐
switch[swit6]n. 转辙器
switchyard['swit6j1:d]n. 调车场
syllable['sil2bl]n. 音节
symbol['simb2l]n. 象征；标志
symbolic[sim'b0lik]a. 象征的
symbolize['simblaiz]vt. 象征
sympathetic[simp2'4etik]a. 有同情心的
